timestamp_gmt2,xauusd
2026-06-15T20:38:39Z,N/A
2026-06-15T20:43:19Z,4322.71
2026-06-15T23:17:41+02:00,4322.71
2026-06-15T23:21:53+02:00,4322.71
2026-06-15T23:27:03+02:00,4307.96
2026-06-15T23:51:42+02:00,4307.96
2026-06-16T01:09:46+02:00,4314.605
2026-06-16T03:44:57+02:00,4314.995
2026-06-16T09:07:01+02:00,4327.41
2026-06-16T14:20:04+02:00,4341.655
2026-06-16T19:25:21+02:00,4329.39
2026-06-16T21:41:46+02:00,4338.905
2026-06-16T21:45:18+02:00,4338.47
2026-06-16T21:50:17+02:00,4338.12
2026-06-16T21:55:15+02:00,4331.88
2026-06-16T22:00:22+02:00,4333.255
2026-06-16T22:05:21+02:00,4332.96
2026-06-16T22:10:11+02:00,4332.28
2026-06-16T22:15:21+02:00,4331.505
2026-06-16T22:20:17+02:00,4333.135
2026-06-16T22:25:11+02:00,4334.01
2026-06-16T22:30:21+02:00,4333.055
2026-06-16T22:35:16+02:00,4332.92
2026-06-16T22:40:20+02:00,4334.5
2026-06-16T22:45:20+02:00,4333.06
2026-06-16T22:50:16+02:00,4332.11
2026-06-17T00:15:24+02:00,4333.12
2026-06-17T02:20:32+02:00,4339.16
